
CLKs     PCr      PCs      IRs          PCerr  Werr      LEDs         RegW  RDins        MemW  MDins
0057     3100     3100     20020022     00     00000     00000102     1     00000022     0     00000000
0058     3104     3104     0000000c     00     00000     00000102     0     00000000     0     00000000
0059     3108     3108     1600fffa     00     00000     00001002     0     00000000     0     00000000
005a     30f4     30f4     00108100     00     00000     00001002     1     00010000     0     00000000
005b     30f8     30f8     02149825     00     00000     00001002     1     00010002     0     00000000
005c     30fc     30fc     00132020     00     00000     00001002     1     00010002     0     00000000
005d     3100     3100     20020022     00     00000     00001002     1     00000022     0     00000000
005e     3104     3104     0000000c     00     00000     00001002     0     00000000     0     00000000
005f     3108     3108     1600fffa     00     00000     00010002     0     00000000     0     00000000
0060     30f4     30f4     00108100     00     00000     00010002     1     00100000     0     00000000
0061     30f8     30f8     02149825     00     00000     00010002     1     00100002     0     00000000
0062     30fc     30fc     00132020     00     00000     00010002     1     00100002     0     00000000
0063     3100     3100     20020022     00     00000     00010002     1     00000022     0     00000000
0064     3104     3104     0000000c     00     00000     00010002     0     00000000     0     00000000
0065     3108     3108     1600fffa     00     00000     00100002     0     00000000     0     00000000
0066     30f4     30f4     00108100     00     00000     00100002     1     01000000     0     00000000
0067     30f8     30f8     02149825     00     00000     00100002     1     01000002     0     00000000
0068     30fc     30fc     00132020     00     00000     00100002     1     01000002     0     00000000
0069     3100     3100     20020022     00     00000     00100002     1     00000022     0     00000000
006a     3104     3104     0000000c     00     00000     00100002     0     00000000     0     00000000
006b     3108     3108     1600fffa     00     00000     01000002     0     00000000     0     00000000
006c     30f4     30f4     00108100     00     00000     01000002     1     10000000     0     00000000
006d     30f8     30f8     02149825     00     00000     01000002     1     10000002     0     00000000
006e     30fc     30fc     00132020     00     00000     01000002     1     10000002     0     00000000
006f     3100     3100     20020022     00     00000     01000002     1     00000022     0     00000000
0070     3104     3104     0000000c     00     00000     01000002     0     00000000     0     00000000
0071     3108     3108     1600fffa     00     00000     10000002     0     00000000     0     00000000
0072     30f4     30f4     00108100     00     00000     10000002     1     00000000     0     00000000
0073     30f8     30f8     02149825     00     00000     10000002     1     00000002     0     00000000
0074     30fc     30fc     00132020     00     00000     10000002     1     00000002     0     00000000
0075     3100     3100     20020022     00     00000     10000002     1     00000022     0     00000000
0076     3104     3104     0000000c     00     00000     10000002     0     00000000     0     00000000
0077     3108     3108     1600fffa     00     00000     00000002     0     00000000     0     00000000
0078     310c     310c     0295a022     00     00000     00000002     1     00000001     0     00000000
0079     3110     3110     1680fff7     00     00000     00000002     0     00000000     0     00000000
007a     30f0     30f0     00168020     00     00000     00000002     1     00000001     0     00000000
007b     30f4     30f4     00108100     00     00000     00000002     1     00000010     0     00000000
007c     30f8     30f8     02149825     00     00000     00000002     1     00000011     0     00000000
007d     30fc     30fc     00132020     00     00000     00000002     1     00000011     0     00000000
007e     3100     3100     20020022     00     00000     00000002     1     00000022     0     00000000
007f     3104     3104     0000000c     00     00000     00000002     0     00000000     0     00000000
0080     3108     3108     1600fffa     00     00000     00000011     0     00000000     0     00000000
0081     30f4     30f4     00108100     00     00000     00000011     1     00000100     0     00000000
0082     30f8     30f8     02149825     00     00000     00000011     1     00000101     0     00000000
0083     30fc     30fc     00132020     00     00000     00000011     1     00000101     0     00000000
0084     3100     3100     20020022     00     00000     00000011     1     00000022     0     00000000
0085     3104     3104     0000000c     00     00000     00000011     0     00000000     0     00000000
0086     3108     3108     1600fffa     00     00000     00000101     0     00000000     0     00000000
0087     30f4     30f4     00108100     00     00000     00000101     1     00001000     0     00000000
0088     30f8     30f8     02149825     00     00000     00000101     1     00001001     0     00000000
0089     30fc     30fc     00132020     00     00000     00000101     1     00001001     0     00000000
008a     3100     3100     20020022     00     00000     00000101     1     00000022     0     00000000
008b     3104     3104     0000000c     00     00000     00000101     0     00000000     0     00000000
008c     3108     3108     1600fffa     00     00000     00001001     0     00000000     0     00000000
008d     30f4     30f4     00108100     00     00000     00001001     1     00010000     0     00000000
008e     30f8     30f8     02149825     00     00000     00001001     1     00010001     0     00000000
008f     30fc     30fc     00132020     00     00000     00001001     1     00010001     0     00000000
0090     3100     3100     20020022     00     00000     00001001     1     00000022     0     00000000
0091     3104     3104     0000000c     00     00000     00001001     0     00000000     0     00000000
0092     3108     3108     1600fffa     00     00000     00010001     0     00000000     0     00000000
0093     30f4     30f4     00108100     00     00000     00010001     1     00100000     0     00000000
0094     30f8     30f8     02149825     00     00000     00010001     1     00100001     0     00000000
0095     30fc     30fc     00132020     00     00000     00010001     1     00100001     0     00000000
0096     3100     3100     20020022     00     00000     00010001     1     00000022     0     00000000
0097     3104     3104     0000000c     00     00000     00010001     0     00000000     0     00000000
0098     3108     3108     1600fffa     00     00000     00100001     0     00000000     0     00000000
0099     30f4     30f4     00108100     00     00000     00100001     1     01000000     0     00000000
009a     30f8     30f8     02149825     00     00000     00100001     1     01000001     0     00000000
009b     30fc     30fc     00132020     00     00000     00100001     1     01000001     0     00000000
009c     3100     3100     20020022     00     00000     00100001     1     00000022     0     00000000
009d     3104     3104     0000000c     00     00000     00100001     0     00000000     0     00000000
009e     3108     3108     1600fffa     00     00000     01000001     0     00000000     0     00000000
009f     30f4     30f4     00108100     00     00000     01000001     1     10000000     0     00000000
00a0     30f8     30f8     02149825     00     00000     01000001     1     10000001     0     00000000
00a1     30fc     30fc     00132020     00     00000     01000001     1     10000001     0     00000000
00a2     3100     3100     20020022     00     00000     01000001     1     00000022     0     00000000
00a3     3104     3104     0000000c     00     00000     01000001     0     00000000     0     00000000
00a4     3108     3108     1600fffa     00     00000     10000001     0     00000000     0     00000000
00a5     30f4     30f4     00108100     00     00000     10000001     1     00000000     0     00000000
00a6     30f8     30f8     02149825     00     00000     10000001     1     00000001     0     00000000
00a7     30fc     30fc     00132020     00     00000     10000001     1     00000001     0     00000000
00a8     3100     3100     20020022     00     00000     10000001     1     00000022     0     00000000
00a9     3104     3104     0000000c     00     00000     10000001     0     00000000     0     00000000
00aa     3108     3108     1600fffa     00     00000     00000001     0     00000000     0     00000000
00ab     310c     310c     0295a022     00     00000     00000001     1     00000000     0     00000000
00ac     3110     3110     1680fff7     00     00000     00000001     0     00000000     0     00000000
00ad     3114     3114     23bdfffc     00     00000     00000001     1     000007e8     0     00000000
00ae     3118     3118     8fb60000     00     00000     00000001     1     00000000     0     00000000
00af     311c     311c     23bdfffc     00     00000     00000001     1     000007e4     0     00000000
00b0     3120     3120     8fb50000     00     00000     00000001     1     00000000     0     00000000
00b1     3124     3124     23bdfffc     00     00000     00000001     1     000007e0     0     00000000
00b2     3128     3128     8fb40000     00     00000     00000001     1     00000000     0     00000000
00b3     312c     312c     23bdfffc     00     00000     00000001     1     000007dc     0     00000000
00b4     3130     3130     8fb30000     00     00000     00000001     1     80000000     0     00000000
00b5     3134     3134     23bdfffc     00     00000     00000001     1     000007d8     0     00000000
00b6     3138     3138     8fb00000     00     00000     00000001     1     00000001     0     00000000
00b7     313c     313c     23bdfffc     00     00000     00000001     1     000007d4     0     00000000
00b8     3140     3140     8fa40000     00     00000     00000001     1     00000000     0     00000000
00b9     3144     3144     23bdfffc     00     00000     00000001     1     000007d0     0     00000000
00ba     3148     3148     8fa20000     00     00000     00000001     1     00000000     0     00000000
00bb     314c     314c     42000018     00     00000     00000001     0     00000000     0     00000000
00bc     000c     000c     00139fc3     00     00000     00000001     1     ffffffff     0     00000000
00bd     31f4     31f4     afa20000     00     00000     00000001     0     00000000     1     00000000
00be     31f8     31f8     23bd0004     00     00000     00000001     1     000007d4     0     00000000
00bf     31fc     31fc     afa40000     00     00000     00000001     0     00000000     1     00000000
00c0     3200     3200     23bd0004     00     00000     00000001     1     000007d8     0     00000000
00c1     3204     3204     afb00000     00     00000     00000001     0     00000000     1     00000001
00c2     3208     3208     23bd0004     00     00000     00000001     1     000007dc     0     00000000
00c3     320c     320c     afb30000     00     00000     00000001     0     00000000     1     ffffffff
00c4     3210     3210     23bd0004     00     00000     00000001     1     000007e0     0     00000000
00c5     3214     3214     afb40000     00     00000     00000001     0     00000000     1     00000000
00c6     3218     3218     23bd0004     00     00000     00000001     1     000007e4     0     00000000
00c7     321c     321c     afb50000     00     00000     00000001     0     00000000     1     00000000
00c8     3220     3220     23bd0004     00     00000     00000001     1     000007e8     0     00000000
00c9     3224     3224     afb60000     00     00000     00000001     0     00000000     1     00000000
00ca     3228     3228     23bd0004     00     00000     00000001     1     000007ec     0     00000000
00cb     322c     322c     20160003     00     00000     00000001     1     00000003     0     00000000
00cc     3230     3230     20140003     00     00000     00000001     1     00000003     0     00000000
00cd     3234     3234     20150001     00     00000     00000001     1     00000001     0     00000000
00ce     3238     3238     00168020     00     00000     00000001     1     00000003     0     00000000
00cf     323c     323c     00108100     00     00000     00000001     1     00000030     0     00000000
00d0     3240     3240     02149825     00     00000     00000001     1     00000033     0     00000000
00d1     3244     3244     00132020     00     00000     00000001     1     00000033     0     00000000
00d2     3248     3248     20020022     00     00000     00000001     1     00000022     0     00000000
00d3     324c     324c     0000000c     00     00000     00000001     0     00000000     0     00000000
00d4     3250     3250     1600fffa     00     00000     00000033     0     00000000     0     00000000
00d5     323c     323c     00108100     00     00000     00000033     1     00000300     0     00000000
00d6     3240     3240     02149825     00     00000     00000033     1     00000303     0     00000000
00d7     3244     3244     00132020     00     00000     00000033     1     00000303     0     00000000
00d8     3248     3248     20020022     00     00000     00000033     1     00000022     0     00000000
00d9     324c     324c     0000000c     00     00000     00000033     0     00000000     0     00000000
00da     3250     3250     1600fffa     00     00000     00000303     0     00000000     0     00000000
00db     323c     323c     00108100     00     00000     00000303     1     00003000     0     00000000
00dc     3240     3240     02149825     00     00000     00000303     1     00003003     0     00000000
